name,season,age,team,league,position,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempted_per_game,field_goal_percentage,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
Kobe Bufkin,2023-24,20,ATL,NBA,SG,7,0,8.0,1.0,3.0,.333,0.1,0.3,0.4,2.6
Ricky Council IV,2023-24,22,PHI,NBA,SG,18,0,9.7,2.0,3.9,.507,0.0,0.2,0.4,6.4
Gradey Dick,2023-24,20,TOR,NBA,SG,37,1,15.7,2.2,5.1,.439,0.0,0.6,1.3,6.2
Tosan Evbuomwan,2023-24,22,,NBA,SF,6,0,15.0,1.2,3.0,.389,0.2,0.2,1.0,2.8
Alex Fudge,2023-24,20,LAL,NBA,SF,4,0,3.5,0.3,1.5,.167,0.0,0.3,0.3,1.0
Mouhamed Gueye,2023-24,21,ATL,NBA,PF,2,0,2.0,0.0,0.5,.000,0.0,0.0,0.5,0.0
Matthew Hurt,2023-24,23,MEM,NBA,PF,4,0,15.3,1.5,4.5,.333,0.3,0.0,0.8,4.3
Jett Howard,2023-24,20,ORL,NBA,SF,13,0,3.8,0.6,1.7,.364,0.1,0.2,0.2,1.8
Colby Jones,2023-24,21,SAC,NBA,SG,17,0,7.1,1.0,2.7,.370,0.1,0.3,0.9,2.2
Keyontae Johnson,2023-24,23,OKC,NBA,SF,9,0,7.3,0.6,1.8,.313,0.0,0.4,0.6,1.2
Seth Lundy,2023-24,23,ATL,NBA,SF,9,0,5.8,0.4,1.9,.235,0.0,0.1,0.7,1.6
Kris Murray,2023-24,23,POR,NBA,SF,37,4,14.7,1.5,3.9,.378,0.2,0.6,1.0,3.8
Markquis Nowell,2023-24,24,TOR,NBA,SG,1,0,4.0,0.0,1.0,.000,0.0,0.0,0.0,2.0
Pete Nance,2023-24,23,CLE,NBA,PF,2,0,2.0,0.0,1.0,.000,0.0,0.0,0.0,0.0
Olivier-Maxence Prosper,2023-24,21,DAL,NBA,PF,31,0,8.3,0.8,2.3,.352,0.1,0.2,0.5,2.6
Craig Porter Jr.,2023-24,23,CLE,NBA,PG,34,5,14.1,2.5,5.0,.506,0.4,1.0,0.9,6.2
Rayan Rupert,2023-24,19,POR,NBA,SG,16,0,7.4,0.9,2.7,.349,0.0,0.4,0.4,2.6
Duop Reath,2023-24,27,POR,NBA,C,43,11,17.1,3.2,6.9,.464,0.5,0.7,2.5,8.7
Brandin Podziemski,2023-24,20,GSW,NBA,SG,51,18,26.7,3.9,8.6,.455,0.2,1.3,1.8,9.8
Jalen Pickett,2023-24,24,DEN,NBA,SG,19,0,5.4,0.6,1.5,.414,0.0,0.3,0.5,1.8
Julian Phillips,2023-24,20,CHI,NBA,SF,32,0,6.8,0.7,1.6,.440,0.2,0.2,1.0,1.8
Filip Petrušev,2023-24,23,,NBA,C,3,0,3.3,0.3,0.7,.500,0.0,0.0,0.3,1.0
Drew Peterson,2023-24,24,BOS,NBA,PF,1,0,3.0,1.0,1.0,1.000,0.0,0.0,1.0,3.0
Taze Moore,2023-24,25,POR,NBA,SG,3,0,3.3,1.0,1.7,.600,0.0,0.3,0.7,2.0
Dariq Whitehead,2023-24,19,BRK,NBA,SF,2,0,12.0,0.5,2.5,.200,0.5,0.0,0.0,1.5
Leonard Miller,2023-24,20,MIN,NBA,SF,7,0,3.7,1.0,1.6,.636,0.1,0.1,0.4,2.1
Jordan Miller,2023-24,24,LAC,NBA,SF,5,0,4.2,0.8,1.2,.667,0.0,0.2,0.4,2.2
Brandon Miller,2023-24,21,CHO,NBA,SF,52,46,31.7,6.2,14.1,.439,0.5,1.8,2.6,16.5
Vasilije Micić,2023-24,30,,NBA,PG,37,0,13.8,1.6,4.0,.412,0.1,1.1,0.9,4.3
Nathan Mensah,2023-24,25,CHO,NBA,C,25,0,12.3,0.5,1.1,.429,0.6,0.6,2.6,1.3
Chris Livingston,2023-24,20,MIL,NBA,SF,16,0,4.3,0.4,1.0,.438,0.0,0.3,0.7,1.1
Dereck Lively II,2023-24,19,DAL,NBA,C,40,38,25.1,4.0,5.5,.739,1.5,1.1,2.9,8.9
E.J. Liddell,2023-24,23,NOP,NBA,PF,8,0,2.9,0.1,0.8,.167,0.3,0.3,0.3,0.5
Maxwell Lewis,2023-24,21,LAL,NBA,SF,20,0,3.5,0.2,0.6,.250,0.0,0.3,0.2,0.4
Trey Jemison,2023-24,24,,NBA,C,9,3,15.7,1.9,4.0,.472,1.1,1.0,2.6,4.4
Jaime Jaquez Jr.,2023-24,22,MIA,NBA,SF,52,17,29.6,5.0,10.1,.494,0.2,1.7,2.3,12.9
Trayce Jackson-Davis,2023-24,23,GSW,NBA,PF,44,3,12.8,2.8,4.0,.688,0.8,0.6,1.6,6.5
GG Jackson II,2023-24,19,MEM,NBA,PF,25,1,19.8,3.8,8.9,.432,0.6,0.9,1.2,11.1
Andre Jackson Jr.,2023-24,22,MIL,NBA,SG,46,8,10.8,1.0,1.9,.529,0.1,0.5,1.8,2.5
Jalen Hood-Schifino,2023-24,20,LAL,NBA,SG,19,0,5.4,0.5,2.2,.244,0.1,0.5,0.7,1.7
Chet Holmgren,2023-24,21,OKC,NBA,C,58,58,30.1,6.4,11.9,.542,2.7,1.7,2.6,17.1
D'Moi Hodge,2023-24,25,LAL,NBA,SG,7,0,5.9,0.7,2.1,.333,0.1,0.1,0.6,2.0
Taylor Hendricks,2023-24,20,UTA,NBA,PF,20,3,16.6,2.1,5.0,.410,0.5,0.8,1.5,5.4
Scoot Henderson,2023-24,19,POR,NBA,PG,43,16,27.0,4.4,11.8,.375,0.2,3.0,3.0,12.9
Jordan Hawkins,2023-24,21,NOP,NBA,SG,52,10,20.0,3.1,8.0,.389,0.1,0.7,1.3,9.4
Mouhamadou Gueye,2023-24,25,TOR,NBA,PF,1,0,6.0,1.0,3.0,.333,2.0,0.0,1.0,2.0
Collin Gillespie,2023-24,24,DEN,NBA,PG,19,0,8.5,1.2,2.4,.511,0.0,0.5,0.9,3.3
Keyonte George,2023-24,20,UTA,NBA,PG,53,22,25.3,3.8,9.8,.388,0.1,2.1,1.2,11.7
Kaiser Gates,2023-24,27,NOP,NBA,SF,1,0,7.0,0.0,4.0,.000,0.0,0.0,0.0,0.0
Javon Freeman-Liberty,2023-24,24,TOR,NBA,PG,2,0,2.0,0.5,1.5,.333,0.0,0.0,0.0,1.0
Jordan Ford,2023-24,25,SAC,NBA,PG,6,0,3.7,0.7,1.2,.571,0.0,0.2,0.0,2.0
Dexter Dennis,2023-24,24,DAL,NBA,SG,4,0,7.5,2.5,4.8,.526,0.3,0.8,0.3,5.5
Bilal Coulibaly,2023-24,19,WAS,NBA,SF,56,8,26.7,2.9,6.7,.442,0.8,1.4,2.1,8.2
Noah Clowney,2023-24,19,BRK,NBA,PF,7,0,9.9,1.6,2.6,.611,0.1,0.4,0.7,4.1
Sidy Cissoko,2023-24,19,SAS,NBA,SF,5,0,6.4,0.2,1.2,.167,0.0,0.2,0.4,1.2
Malcolm Cazalon,2023-24,22,DET,NBA,SG,1,0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0
Colin Castleton,2023-24,23,LAL,NBA,C,7,0,5.1,1.0,1.4,.700,0.0,0.1,1.0,2.6
Toumani Camara,2023-24,23,POR,NBA,PF,56,36,23.7,2.6,6.1,.433,0.4,1.2,2.5,7.1
Kobe Brown,2023-24,24,LAC,NBA,PF,32,0,8.7,0.7,1.9,.371,0.1,0.2,1.3,1.8
Leaky Black,2023-24,24,CHO,NBA,SF,22,3,9.9,0.8,1.8,.436,0.3,0.2,0.7,2.3
Anthony Black,2023-24,20,ORL,NBA,PG,54,31,18.6,1.8,3.8,.469,0.3,0.9,1.9,5.0
Onuralp Bitim,2023-24,24,CHI,NBA,SG,2,0,3.0,0.0,1.0,.000,0.0,0.0,0.0,0.0
Jules Bernard,2023-24,24,WAS,NBA,SG,6,0,4.7,0.5,2.0,.250,0.2,0.3,0.7,1.2
Emoni Bates,2023-24,20,CLE,NBA,SF,10,0,7.6,0.6,2.5,.240,0.2,0.1,0.5,1.8
Amari Bailey,2023-24,19,CHO,NBA,PG,3,0,5.0,0.7,2.3,.286,0.0,0.3,0.0,1.7
Ibou Badji,2023-24,21,POR,NBA,C,17,1,11.7,0.7,1.1,.632,1.2,0.8,2.4,1.7
Jermaine Samuels,2023-24,25,HOU,NBA,SF,11,0,4.8,0.7,1.0,.727,0.1,0.0,0.4,1.6
Brice Sensabaugh,2023-24,20,UTA,NBA,SF,9,0,6.9,1.1,2.7,.417,0.0,0.4,0.7,2.9
Marcus Sasser,2023-24,23,DET,NBA,PG,50,0,16.3,2.9,6.2,.468,0.2,1.0,1.4,7.7
Gui Santos,2023-24,21,GSW,NBA,PF,14,0,8.4,1.2,2.4,.500,0.1,0.3,1.1,3.9
Adama Sanogo,2023-24,21,CHI,NBA,PF,3,0,3.7,1.0,1.0,1.000,0.0,0.3,0.0,2.7
Jalen Slawson,2023-24,24,SAC,NBA,SF,5,0,3.8,0.4,0.6,.667,0.2,0.4,0.6,0.8
Dmytro Skapintsev,2023-24,25,NYK,NBA,C,2,0,1.0,0.0,0.5,.000,0.0,0.0,0.0,0.0
Ben Sheppard,2023-24,22,IND,NBA,SG,36,0,11.1,1.3,3.2,.404,0.0,0.2,1.3,3.6
Julian Strawther,2023-24,21,DEN,NBA,SF,38,0,13.0,2.0,5.2,.379,0.2,0.4,1.3,5.4
Terquavion Smith,2023-24,21,PHI,NBA,PG,12,0,5.8,1.3,3.3,.400,0.0,0.3,0.3,3.8
Hunter Tyson,2023-24,23,DEN,NBA,PF,9,0,3.0,0.1,0.8,.143,0.0,0.2,0.7,0.2
